Name of State / UT,Total Confirmed cases (Including 77 foreign Nationals) ,Cured/Discharged/Migrated,Death,Date,Latitude,Longitude
Andaman and Nicobar Islands,14,11,0,2020-04-19,11.7401,92.6586
Andhra Pradesh,603,42,15,2020-04-19,15.9129,79.74
Arunachal Pradesh,1,0,0,2020-04-19,28.218,94.7278
Assam,35,12,1,2020-04-19,26.2006,92.9376
Bihar,86,37,2,2020-04-19,25.0961,85.3131
Chandigarh,23,10,0,2020-04-19,30.7333,76.7794
Chhattisgarh,36,24,0,2020-04-19,21.2787,81.8661
Delhi,1893,72,42,2020-04-19,28.7041,77.1025
Goa,7,6,0,2020-04-19,15.2993,74.124
Gujarat,1376,93,53,2020-04-19,22.2587,71.1924
Haryana,225,43,3,2020-04-19,29.0588,76.0856
Himachal Pradesh,39,16,1,2020-04-19,31.1048,77.1734
Jammu and Kashmir,341,51,5,2020-04-19,33.7782,76.5762
Jharkhand,34,0,2,2020-04-19,23.6102,85.2799
Karnataka,384,104,14,2020-04-19,15.3173,75.7139
Kerala,400,257,3,2020-04-19,10.8505,76.2711
Ladakh,18,14,0,2020-04-19,34.2996,78.2932
Madhya Pradesh,1407,127,70,2020-04-19,22.9734,78.6569
Maharashtra,3651,365,211,2020-04-19,19.7515,75.7139
Manipur,2,1,0,2020-04-19,24.6637,93.9063
Meghalaya,11,0,1,2020-04-19,,
Mizoram,1,0,0,2020-04-19,23.1645,92.9376
Nagaland#,0,0,0,2020-04-19,,
Odisha,61,24,1,2020-04-19,20.9517,85.0985
Puducherry,7,3,0,2020-04-19,11.9416,79.8083
Punjab,202,27,13,2020-04-19,31.1471,75.3412
Rajasthan,1351,183,11,2020-04-19,27.0238,74.2179
Tamil Nadu,1372,365,15,2020-04-19,11.1271,78.6569
Telengana,809,186,18,2020-04-19,18.1124,79.0193
Tripura,2,1,0,2020-04-19,,
Uttarakhand,42,9,0,2020-04-19,30.0668,79.0193
Uttar Pradesh,969,86,14,2020-04-19,26.8467,80.9462
West Bengal,310,62,12,2020-04-19,22.9868,87.855
15712*,"
2231
","
507
",,2020-04-19,,
